GridID,TimeInterval,countrycode,smsin,smsout,callin,callout,internet
1007,1383315000000,234,,,,0.003236496088091,
1009,1383260400000,39,0.0298317448578233,0.0464834230174701,0.0521388982119487,0.0279967987499774,3.8315406525801055
100,1383285600000,49,,,,,0.0407742548283371
1014,1383275400000,39,,0.0251669199339316,0.0125834599669658,0.0251669199339316,2.876437920701287
10000,1383292800000,0,0.8748283971552432,,,,
10,1383262200000,39,0.3565176178375651,0.0998710234222905,0.0101739906223334,0.0388270796882896,5.119292628677982
1002,1383286800000,39,0.0617819177375565,0.0626016468482561,0.0332324911130465,0.0203572254965652,3.138703286698876
1006,1383279000000,46,,,,,0.0071425135294879
1014,1383279000000,46,,,,,0.0125834599669658
10,1383327600000,0,0.2578778015936049,,,,
1018,1383267000000,39,0.0257955025544272,0.0480396090368616,,0.0190284581342982,3.2047823246943605
1010,1383291000000,39,0.5501472001043044,0.613948760137911,0.0470542060003365,0.0799226431040913,3.0933960573318093
101,1383295200000,33,,,,,0.0277058399180573
1018,1383285000000,39,0.0148294043216229,0.0148294043216229,0.0074147021608114,,2.6136871805400705
1005,1383293400000,40,,,,0.0004490347454339,
1007,1383268200000,39,0.0108497898216395,0.0112106435608595,,0.0325493694649187,2.227681285640707
1005,1383340800000,0,0.0105004511428884,,,,
1006,1383289200000,39,0.2059324632876439,0.1513555615441196,0.0582574578769626,0.0772001760849273,2.5357012501052334
1007,1383325800000,380,,,,0.003236496088091,
1008,1383301200000,33,,,,,0.0148586839559008
1,1383276600000,39,,0.0784122727928598,0.0017873101054994,,5.07081912115954
1015,1383339000000,0,0.0659611820682521,,,,
1018,1383312000000,44,0.0116137559734868,,,,
1016,1383275400000,39,,0.0064706302721149,0.0020982928220541,0.0041965856441083,2.4749185935389284
10,1383295200000,39,0.4800506855118439,0.5151399995980448,0.5699616913397474,0.3984447875052295,7.939919031737299
1002,1383267600000,0,0.0028482254343731,,,,
1002,1383321000000,41,,,0.0203572254965652,,
1008,1383312000000,44,0.0056468078703638,,,,
1001,1383336600000,39,0.4552316235995665,0.3261029966466262,0.155936444813267,0.1187146308069108,6.950702132328801
1,1383320400000,46,,,,,0.0017873101054994
1,1383294000000,46,,,,,0.0261374242642866
10,1383264000000,0,0.0286530890659561,,,,
1011,1383282000000,39,0.0026835243627219,0.012112198102132,,0.0281342752805907,2.3968105810372125
1005,1383297600000,0,0.1358212537711056,,,,
10,1383327000000,46,,,,,0.0286530890659561
1008,1383307200000,46,,,,,0.0002425655445186
10,1383292200000,0,0.1324758511182818,,,,
1005,1383340800000,39,0.1740546410182473,0.167476248948219,0.0325393230940485,0.0220115313612822,3.236405414185809
10000,1383302400000,34,,0.0859947728846425,,,
1001,1383330600000,0,0.0725994873899747,,,,
1010,1383290400000,20,,,,0.0076847554100645,
1001,1383345000000,39,0.0709509910259381,0.0451930731055672,0.0407144509931305,0.007971259099211,4.267517909236992
1015,1383266400000,0,0.0168645885097909,,,,
10000,1383300600000,20,,,,0.0859947728846425,
1011,1383340800000,39,0.0684598176611864,0.0659280392361039,0.0702598152326571,0.0993704586819501,4.744533539010712
1016,1383321000000,0,0.0292607140365303,0.0020982928220541,,0.0020982928220541,
1015,1383294600000,39,0.4765556445788005,0.4713198119600675,0.2425197789813831,0.1939656533179257,4.49750067754219
10000,1383322200000,355,,,0.0859947728846425,0.0859947728846425,
1001,1383288600000,39,0.0283284845957763,0.0203572254965652,,0.0407144509931305,3.5051982675877165
1005,1383272400000,39,0.0162745039776845,0.0154428165420748,0.0161691339294144,,1.981750659243673
1010,1383295800000,39,0.6922024379086174,0.6617297651088773,0.2968206015487122,0.3263487214698101,4.53126776002788
1009,1383295200000,44,,0.0024238146762121,,,
1003,1383343800000,39,0.087317410746048,0.0871747526693784,,0.007610405359991,5.040004385274275
1008,1383315600000,39,0.3731342649515484,0.2273270919913095,0.3683521809854828,0.3670226589883087,6.620495955116674
1007,1383301800000,49,,,,,0.003236496088091
1013,1383301200000,40,,,,0.0250412185152469,
1017,1383334800000,1,0.0005126286844988,0.0010252573689976,,,
1018,1383319800000,0,0.0504629648135405,,,0.0128767436751658,
