GridID,TimeInterval,countrycode,smsin,smsout,callin,callout,internet
1004,1383261000000,39,0.1804151316282225,0.1894116408333291,0.0150411112768296,0.0638471482793191,3.693870566839817
1000,1383306600000,0,1.1793825890364111,,,0.2109355067405844,
1002,1383343800000,0,0.0026897183261688,,,,
1005,1383338400000,0,0.0805797724442526,,,,
1019,1383313200000,41,,,,,0.0413574384492897
1011,1383292200000,40,,,,0.004714336869705,
1015,1383317400000,39,0.3377516609778527,0.1978340079131568,0.2046391673663859,0.1862302900512436,5.593159919893225
10,1383319800000,39,0.4335341015914303,0.3023115296850276,0.4150550031478077,0.5641410699086679,6.726018931762287
1001,1383262200000,39,0.0974353349989766,0.1311645120185585,0.015942518198422,0.015942518198422,3.884916899954996
1005,1383342000000,39,0.1186368870312069,0.2111765731508469,0.0106639671615786,0.0692485231540443,3.743747259277969
1013,1383274800000,46,,,,,0.0125206092576234
1002,1383320400000,0,0.0749146292328395,,,,
100,1383294600000,370,,,0.0407742548283371,0.0407742548283371,
10000,1383306000000,41,0.4164906269910169,,,,
1002,1383289800000,41,,,0.0013448591630844,0.0013448591630844,
1018,1383321600000,39,0.1327988036568594,0.0818974714927828,0.1055956785699784,0.2460189300052136,5.76223945030943
1006,1383339600000,0,0.0122836350072456,,,0.0007482502198503,
1012,1383306600000,34,0.0374112030823613,0.0374112030823613,,0.0187056015411806,
101,1383301800000,39,0.5227569137375925,0.4142818701919896,0.7195872609677876,0.4156670303840178,13.099761718156124
1012,1383289200000,353,,,,,0.0095356669435234
1016,1383319200000,39,0.0944613693010251,0.0898577249405548,0.1096251464779959,0.1180463861137498,5.605744737124972
1000,1383325200000,53,0.0036215255509797,,,,
1017,1383294000000,0,0.0197308589101783,,,,
1012,1383343800000,39,0.1509585577714524,0.07991068517007,0.0282412684847041,0.0095356669435234,5.061431249618223
101,1383302400000,32,0.0272441198540478,,,,
1003,1383335400000,0,0.0906519383175158,,,,
1012,1383342000000,39,0.0899205404180841,0.1587650830417952,0.0443778077023473,0.0163532693784717,5.012800383947437
10000,1383316200000,0,0.3029200504329146,,,,
1004,1383267600000,0,0.0264018275682882,,,,
101,1383310800000,44,,,,0.0277058399180573,
1008,1383285600000,53,,,0.0053925497947002,0.0107850995894005,
1017,1383310200000,46,,,,,0.0005126286844988
1013,1383336600000,39,0.2581455099558498,0.3128840267718947,0.1422661075557104,0.1780973264107128,7.233191829590563
1002,1383265800000,39,0.0168616471437562,0.0465279487839217,,0.0005696450868746,3.710384491629686
1013,1383303600000,0,0.1506600390528719,,,,
1007,1383313800000,34,,,0.003236496088091,,
101,1383279000000,39,,0.0817323595621436,,,5.5622064591787765
1012,1383310200000,46,,,,,0.0095356669435234
1019,1383337200000,0,0.0145763036584291,,,,
10000,1383288600000,0,0.0859947728846425,,,,
1004,1383342600000,1,0.0158410965409729,0.0052803655136576,,,
1019,1383306600000,39,0.3210261489878841,0.0437289109752873,0.2139016098244416,0.0996626530830062,7.343573055290712
101,1383276000000,39,,,,,4.749356070586058
1016,1383303600000,40,,,0.0020982928220541,,
1005,1383292800000,385,0.0158963662437308,,,,
1019,1383322200000,39,0.3915361947540321,0.1603393402427203,0.2966164867230211,0.2009369618539248,5.900805654617566
1006,1383275400000,39,0.000969810208486,0.0162246474759479,0.0071425135294879,0.0142850270589758,2.2839454129808705
1018,1383311400000,39,0.124945734145512,0.1236407312397374,0.109426656879111,0.1274858815844886,5.985683281556961
1017,1383313800000,0,0.0871892129493421,,,,
102,1383306000000,355,,,0.0316531762443634,,
10,1383339000000,39,0.8753733110041498,0.1553083187531584,0.1247863468861579,0.0344737104970356,5.944381031203831
1004,1383322800000,0,0.0859092822357754,,,,
1015,1383275400000,39,,0.0251669199339316,0.0125834599669658,0.0251669199339316,2.8871065952984982
1014,1383334800000,0,0.0786830981867647,,,0.0251669199339316,
1002,1383342000000,0,0.0174312922306309,,,0.0005696450868746,
1002,1383301800000,40,,,,0.0005696450868746,
1009,1383319200000,33,,,,,0.0024238146762121
1005,1383328800000,47,,,,,0.020301083379719
1018,1383289200000,46,,,,,0.0091904001968079
1001,1383305400000,0,0.1222072677936851,,,,
100,1383320400000,34,0.0407742548283371,,,,
1006,1383333600000,33,,,,0.000969810208486,
1001,1383327600000,0,0.057642954317215,,,0.007971259099211,
1000,1383329400000,0,2.2226742928064667,0.0036215255509797,0.0800995970142345,0.0800995970142345,
1000,1383332400000,39,1.4656323543178014,1.255851793476613,2.1318579399690325,1.8690046601497905,37.63747412954161
1,1383303000000,39,0.7920554749275998,0.5130646263466399,0.8403024304971745,0.5529617603346222,11.536753064689568
10000,1383320400000,216,0.0095486366049458,,,,
