GridID,TimeInterval,smsin,smsout,callin,callout,internet
1000,1383294000000,,,,0.0800995970142345,
1000,1383294600000,,,,0.160199194028469,
1000,1383346200000,,,,0.0036215255509797,
1002,1383289800000,,,,0.0005696450868746,
1002,1383292200000,,,0.0005696450868746,,
1004,1383289800000,,,,0.0052803655136576,
1004,1383292200000,,,0.0052803655136576,,
1005,1383289800000,,,,0.0020950477103623,
1005,1383292200000,,,0.0020950477103623,,
1005,1383312000000,,,,0.0101505416898595,
1006,1383289800000,,,,0.0071425135294879,
1006,1383292200000,,,0.0071425135294879,,
1007,1383289800000,,,,0.0054248949108197,
1007,1383290400000,0.003236496088091,,,,
1007,1383292200000,,,0.0054248949108197,,
1007,1383303000000,,,,0.003236496088091,
1007,1383306600000,0.003236496088091,,,,
1008,1383288600000,0.055115660599345,,,,
1008,1383289800000,,,,0.0053925497947002,
1008,1383290400000,0.0002425655445186,,,,
1008,1383292200000,,,0.0053925497947002,,
1008,1383303000000,,,,0.0002425655445186,
1008,1383306600000,0.0002425655445186,,,,
1008,1383311400000,0.055115660599345,,,,
1008,1383312000000,0.055115660599345,,,,
1008,1383321000000,0.055115660599345,,,,
1008,1383325200000,0.1653469817980351,,,,
1009,1383289800000,,,,0.001211907338106,
1009,1383292200000,,,0.001211907338106,,
1010,1383289800000,,,,0.0025615851366881,
1010,1383292200000,,,0.0025615851366881,,
1011,1383289800000,,,,0.004714336869705,
1011,1383292200000,,,0.004714336869705,,
1012,1383289800000,,,,0.0095356669435234,
1012,1383292200000,,,0.0095356669435234,,
1013,1383289800000,,,,0.0125206092576234,
1013,1383292200000,,,0.0125206092576234,,
1014,1383289800000,,,,0.0125834599669658,
1014,1383292200000,,,0.0125834599669658,,
1015,1383289800000,,,,0.0125834599669658,
1015,1383292200000,,,0.0125834599669658,,
1016,1383289800000,,,,0.0020982928220541,
1016,1383292200000,,,0.0020982928220541,,
1017,1383289800000,,,,0.0005126286844988,
1017,1383292200000,,,0.0005126286844988,,
