grid_id_visited,customer_Identifier,traffic_type,traffic_amount
1007,234,callout,3.5
1007,234,callout,3.5
10000,46,internet,10.0
10000,46,internet,10.0
100,421,smsin,5.0
1009,20,smsin,5.0
1008,421,internet,10.0
1004,53,callin,3.5
10000,221,callin,3.5
101,0,smsin,5.0
101,0,smsin,5.0
101,0,smsin,5.0
101,0,smsin,5.0
101,0,smsin,5.0
101,0,smsin,5.0
101,0,smsin,5.0
101,0,smsin,5.0
101,0,smsin,5.0
101,0,smsin,5.0
101,0,smsin,5.0
101,0,smsin,5.0
101,0,smsin,5.0
101,0,smsin,5.0
101,0,smsin,5.0
101,0,smsin,5.0
101,0,smsin,5.0
101,0,smsin,5.0
101,0,smsin,5.0
101,0,smsin,5.0
101,370,smsin,5.0
1,39,smsout,5.0
1,39,smsout,5.0
1008,0,smsout,5.0
1000,44,internet,10.0
10000,216,callin,3.5
101,33,callin,3.5
1001,0,smsin,5.0
1001,0,smsin,5.0
1001,0,smsin,5.0
1001,0,smsin,5.0
1001,0,smsin,5.0
1001,0,smsin,5.0
1001,0,smsin,5.0
1001,0,smsin,5.0
1001,0,smsin,5.0
1001,0,smsin,5.0
1001,0,smsin,5.0
1001,0,smsin,5.0
1001,0,smsin,5.0
1001,0,smsin,5.0
1001,0,smsin,5.0
1001,0,smsin,5.0
1001,0,smsin,5.0
1001,0,smsin,5.0
1001,0,smsin,5.0
1001,0,smsin,5.0
1001,0,smsin,5.0
1001,0,smsin,5.0
1005,44,smsout,5.0
1013,1,smsin,5.0
1013,1,smsin,5.0
10000,49,internet,10.0
1005,51,callout,3.5
1006,48,internet,10.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
1009,0,smsin,5.0
100,27,smsin,5.0
10,40,callout,3.5
10,40,callout,3.5
1013,1,callin,3.5
1005,94,callout,3.5
1005,94,callout,3.5
1012,46,internet,10.0
1012,46,internet,10.0
1012,46,internet,10.0
1012,46,internet,10.0
1012,46,internet,10.0
1012,46,internet,10.0
1012,46,internet,10.0
1003,375,smsin,5.0
1003,36,smsin,5.0
1000,20,callout,3.5
1000,20,callout,3.5
1000,20,callout,3.5
1000,20,callout,3.5
1002,41,callin,3.5
1002,41,callin,3.5
1009,353,smsout,5.0
10,46,internet,10.0
10,46,internet,10.0
10,46,internet,10.0
10,33,smsin,5.0
1007,355,callout,3.5
1001,32,internet,10.0
1011,0,smsin,5.0
1011,0,smsin,5.0
1011,0,smsin,5.0
1011,0,smsin,5.0
1011,0,smsin,5.0
1011,0,smsin,5.0
1011,0,smsin,5.0
1011,0,smsin,5.0
1011,0,smsin,5.0
1011,0,smsin,5.0
1011,0,smsin,5.0
1011,0,smsin,5.0
1011,0,smsin,5.0
1011,0,smsin,5.0
1011,0,smsin,5.0
1011,0,smsin,5.0
1011,0,smsin,5.0
1011,0,smsin,5.0
1011,0,smsin,5.0
1011,0,smsin,5.0
1011,0,smsin,5.0
101,32,callout,3.5
1005,43,internet,10.0
1005,43,internet,10.0
1005,43,internet,10.0
1005,43,internet,10.0
1010,20,callout,3.5
1003,33,internet,10.0
1003,33,internet,10.0
1003,33,internet,10.0
1006,40,smsin,5.0
102,0,callout,3.5
1008,7,smsin,5.0
102,1,callin,3.5
101,20,callout,3.5
101,20,callout,3.5
100,33,internet,10.0
100,33,internet,10.0
100,33,internet,10.0
100,33,internet,10.0
100,33,internet,10.0
100,33,internet,10.0
100,33,internet,10.0
100,33,internet,10.0
100,33,internet,10.0
100,33,internet,10.0
100,33,internet,10.0
100,33,internet,10.0
100,33,internet,10.0
100,33,internet,10.0
100,33,internet,10.0
100,33,internet,10.0
10000,44,internet,10.0
1012,88239,internet,10.0
