GridID,TimeInterval,smsin,smsout,callin,callout,internet
100,1383329400000,,0.0798593575577967,,,
1000,1383324600000,,0.0800995970142345,,,
1000,1383325200000,0.0036215255509797,,,,
1002,1383285600000,,,0.0005696450868746,0.0011392901737492,
1002,1383286200000,0.0005696450868746,,0.0005696450868746,0.0005696450868746,
1002,1383288000000,0.0005696450868746,,,,
1002,1383288600000,,,,0.0011392901737492,
1004,1383285600000,,,0.0052803655136576,0.0105607310273153,
1004,1383286200000,0.0052803655136576,,0.0052803655136576,0.0052803655136576,
1004,1383288000000,0.0052803655136576,,,,
1004,1383288600000,,,,0.0105607310273153,
1005,1383285600000,,,0.0020950477103623,0.0041900954207247,
1005,1383286200000,0.0020950477103623,,0.0020950477103623,0.0020950477103623,
1005,1383288000000,0.0020950477103623,,,,
1005,1383288600000,,,,0.0041900954207247,
1006,1383285600000,,,0.0071425135294879,0.0142850270589758,
1006,1383286200000,0.0071425135294879,,0.0071425135294879,0.0071425135294879,
1006,1383288000000,0.0071425135294879,,,,
1006,1383288600000,,,,0.0142850270589758,
1007,1383285600000,,,0.0054248949108197,0.0108497898216395,
1007,1383286200000,0.0054248949108197,,0.0054248949108197,0.0054248949108197,
1007,1383288000000,0.0054248949108197,,,,
1007,1383288600000,,,,0.0108497898216395,
1008,1383285600000,,,0.0053925497947002,0.0107850995894005,
1008,1383286200000,0.0053925497947002,,0.0053925497947002,0.0053925497947002,
1008,1383288000000,0.0053925497947002,,,,
1008,1383288600000,,,,0.0107850995894005,
1008,1383324600000,,,0.055115660599345,,
1008,1383327000000,,,0.055115660599345,,
1009,1383285600000,,,0.001211907338106,0.0024238146762121,
1009,1383286200000,0.001211907338106,,0.001211907338106,0.001211907338106,
1009,1383288000000,0.001211907338106,,,,
1009,1383288600000,,,,0.0024238146762121,
101,1383319800000,0.0009631559345979,0.0019263118691959,,,
1010,1383285600000,,,0.0025615851366881,0.0051231702733763,
1010,1383286200000,0.0025615851366881,,0.0025615851366881,0.0025615851366881,
1010,1383288000000,0.0025615851366881,,,,
1010,1383288600000,,,,0.0051231702733763,
1011,1383285600000,,,0.004714336869705,0.00942867373941,
1011,1383286200000,0.004714336869705,,0.004714336869705,0.004714336869705,
1011,1383288000000,0.004714336869705,,,,
1011,1383288600000,,,,0.00942867373941,
1012,1383285600000,,,0.0095356669435234,0.0190713338870469,
1012,1383286200000,0.0095356669435234,,0.0095356669435234,0.0095356669435234,
1012,1383288000000,0.0095356669435234,,,,
1012,1383288600000,,,,0.0190713338870469,
1013,1383285600000,,,0.0125206092576234,0.0250412185152469,
1013,1383286200000,0.0125206092576234,,0.0125206092576234,0.0125206092576234,
1013,1383288000000,0.0125206092576234,,,,
1013,1383288600000,,,,0.0250412185152469,
1014,1383285600000,,,0.0125834599669658,0.0251669199339316,
1014,1383286200000,0.0125834599669658,,0.0125834599669658,0.0125834599669658,
1014,1383288000000,0.0125834599669658,,,,
1014,1383288600000,,,,0.0251669199339316,
1015,1383285600000,,,0.0125834599669658,0.0251669199339316,
1015,1383286200000,0.0125834599669658,,0.0125834599669658,0.0125834599669658,
1015,1383288000000,0.0125834599669658,,,,
1015,1383288600000,,,,0.0251669199339316,
1016,1383285600000,,,0.0020982928220541,0.0041965856441083,
1016,1383286200000,0.0020982928220541,,0.0020982928220541,0.0020982928220541,
1016,1383288000000,0.0020982928220541,,,,
1016,1383288600000,,,,0.0041965856441083,
1017,1383285600000,,,0.0005126286844988,0.0010252573689976,
1017,1383286200000,0.0005126286844988,,0.0005126286844988,0.0005126286844988,
1017,1383288000000,0.0005126286844988,,,,
1017,1383288600000,,,,0.0010252573689976,
