GridID,TimeInterval,smsin,smsout,callin,callout,internet
10000,1383300600000,,,,0.0859947728846425,
10000,1383305400000,,,,0.0859947728846425,
1005,1383286800000,,,,0.006123962287825,
1005,1383296400000,,,,0.006123962287825,
1005,1383305400000,,,,0.006123962287825,
1005,1383327600000,,,,0.0004490347454339,
1006,1383327600000,,,,0.0075184456894734,
1007,1383327600000,,,,0.0098267024705233,
1008,1383327600000,,,,0.0143735528668636,
1009,1383327600000,,,,0.0187056015411806,
101,1383284400000,,,,0.0009631559345979,
101,1383288000000,,,,0.0009631559345979,
101,1383308400000,,,,0.0009631559345979,
101,1383312600000,,,,0.0009631559345979,
101,1383320400000,,,,0.0009631559345979,
101,1383321000000,0.0009631559345979,,,,
1010,1383327600000,,,,0.0187056015411806,
1011,1383327600000,,,,0.0187056015411806,
1012,1383327600000,,,,0.0187056015411806,
1013,1383327600000,,,,0.0187056015411806,
1014,1383327600000,,,,0.0187056015411806,
1015,1383327600000,,,,0.0182565667957476,
1016,1383327000000,,,,0.0048876888740632,
1016,1383327600000,,,,0.0166142648686172,
1016,1383329400000,,,,0.0048876888740632,
1017,1383327000000,,,,0.0155284895084574,
1017,1383327600000,,,,0.0187056015411806,
1017,1383329400000,,,,0.0155284895084574,
1018,1383327000000,,,,0.0161879593463415,
1018,1383327600000,,,,0.0091904001968079,
1018,1383329400000,,,,0.0161879593463415,
1019,1383327000000,,,,0.0161879593463415,
1019,1383329400000,,,,0.0161879593463415,
102,1383284400000,,,,0.0003557326688702,
102,1383288000000,,,,0.0003557326688702,
102,1383306000000,,,,0.0075337953325166,
102,1383308400000,,,,0.0003557326688702,
