GridID,TimeInterval,countrycode,sms_count,call_time
102,1383298800000,41,,0.0454204073623056
1002,1383309000000,40,,
1006,1383340800000,39,0.3153943087909875,0.10333224122760451
1019,1383344400000,0,,
1008,1383261000000,32,,
101,1383326400000,0,,
1,1383327600000,0,,
1008,1383312600000,39,0.6752110463696823,0.6384610710604501
1001,1383291000000,0,,
1016,1383290400000,39,0.9833503981133267,0.0911282228925708
10,1383292800000,39,0.45348045227487854,0.6802206784123178
102,1383296400000,49,,
1001,1383284400000,39,,
1012,1383267600000,0,,
1019,1383334800000,39,0.4372891097528735,0.4585674826536537
1013,1383312000000,0,,
1006,1383336600000,44,,
1,1383285000000,0,,
10000,1383327000000,39,2.197048496993145,2.607332124981858
10000,1383305400000,39,2.0526057998203604,2.8357737729055956
100,1383310200000,48,,
1019,1383344400000,39,0.33525498414386967,
102,1383273600000,39,0.1257035193497452,
10000,1383265200000,39,,0.0590056376895409
1011,1383340200000,39,0.2610084530136894,0.13018825832526282
1010,1383333000000,353,,
1007,1383345600000,39,0.0830243501322256,0.0403140655953583
101,1383328800000,0,,
1008,1383268800000,39,0.0938571564026115,
1002,1383343800000,39,0.17829170817762668,0.0096159022034377
1008,1383261600000,39,0.47446946042973226,0.07609459098350199
1015,1383307200000,39,0.3104129857734358,0.6153925952647743
1012,1383322800000,0,,
102,1383291600000,39,0.8890539488974074,0.5640324477968196
10000,1383325200000,221,,
1000,1383319200000,20,,
1015,1383338400000,39,0.4633018347235468,0.15404540183701299
10000,1383285600000,0,,
1019,1383322200000,0,,
1017,1383292200000,0,,
1009,1383305400000,40,,
1019,1383329400000,39,0.3671265324891691,0.41796986104244915
1005,1383261000000,32,,
1003,1383312000000,39,0.3841570599843808,0.4574084292381583
1007,1383325200000,39,0.28729376108034366,0.3216109829093075
1019,1383276000000,39,,
1007,1383334200000,39,0.2022082487848038,0.2507702001727712
1018,1383297000000,39,0.9454149323612641,0.4368537305224033
101,1383323400000,39,0.6589377972012528,1.3761370262358352
1013,1383309000000,39,0.2988162344540853,0.30315394375607563
1013,1383309600000,39,0.5436880116997664,0.3469358638989507
1005,1383261000000,39,0.2928280451448177,0.0612431450715228
1016,1383307800000,39,0.2610917035014826,0.2715770828570237
100,1383282600000,20,,
1017,1383281400000,39,,
100,1383297000000,33,,
1017,1383263400000,39,0.0773855495872168,
101,1383295200000,39,1.266659110949055,1.295869258478878
1008,1383292200000,63,,
1018,1383339000000,39,0.2097372565451956,0.1644567510088697
1001,1383304200000,39,0.4384948647183625,0.5110304372940437
1008,1383301200000,40,,
1010,1383295800000,0,,
1012,1383317400000,0,,
1011,1383289800000,39,0.147106439682936,0.0997655969430652
10,1383333600000,0,,
1007,1383295800000,39,0.8775816665876099,0.49662872797428825
1014,1383315600000,39,0.3921728943549224,0.2174437359468793
1000,1383303000000,55,,
1000,1383328200000,234,,
10000,1383289800000,39,2.389567129958363,0.8694674103744121
1013,1383343200000,1,0.0250412185152468,
1014,1383321000000,39,0.40156750704897703,0.5968841691789362
1004,1383305400000,40,,
1017,1383328800000,0,,
1,1383307200000,45,,
1018,1383261600000,39,0.2938023392845487,0.0314345066792422
10,1383331800000,0,,
1019,1383327000000,39,0.318307207959443,0.7785783683127513
1018,1383305400000,0,,
1014,1383271800000,39,,
1016,1383283800000,39,0.034489453536317896,
1009,1383326400000,40,,
100,1383304200000,20,,
101,1383283200000,39,,
1018,1383278400000,39,,
1016,1383334800000,0,,
1001,1383299400000,0,,
1000,1383316200000,20,,
1012,1383332400000,39,0.32858987082831137,0.2690120924720365
1018,1383336600000,0,,
1000,1383262200000,0,,
1016,1383296400000,39,1.2962202180113036,0.6376354878978736
1017,1383313200000,39,0.23920991815870618,0.1828758971741161
100,1383285600000,39,,0.2429563768711454
1005,1383270000000,39,0.0177843661990092,
1012,1383295200000,0,,
1008,1383298200000,41,,
1012,1383287400000,39,0.21781668233474089,0.10474315243730001
1019,1383340800000,0,,
1005,1383293400000,40,,
1015,1383343200000,39,0.5085362625248768,0.10147007329223989
1014,1383268800000,39,0.0951272501757724,
1019,1383305400000,0,,
1001,1383277800000,39,,0.0248358476090019
1000,1383291000000,0,,
100,1383307200000,48,,
1007,1383330000000,39,0.3437326737049059,0.29433960880320903
1004,1383270000000,39,0.0319056997866205,
1002,1383320400000,212,,
1008,1383290400000,91,,
1007,1383296400000,0,0.1176558394398091,
1008,1383306600000,0,0.3892734502235888,
1015,1383314400000,39,0.36092847933746863,0.331453509141097
